范围,题目,答案
中医儿科学,"题干描述：从出生后至满1周岁，称为
选项A：胎儿期
选项B：围生期
选项C：新生儿期
选项D：婴儿期
选项E：幼儿期",D
中医儿科学,"题干描述：胎儿期体重增长快的阶段是
选项A：妊娠早期4周
选项B：妊娠早期12周
选项C：妊娠中期10周
选项D：妊娠中期l5周
选项E：妊娠晚期13周",E
中医儿科学,"题干描述：胎儿期易发生先天畸形的是
选项A：妊娠早期4周
选项B：妊娠早期12周
选项C：妊娠中期10周
选项D：妊娠中期15周
选项E：妊娠晚期13周",B
中医儿科学,"题干描述：学龄前期起于
选项A：1周岁
选项B：3周岁后
选项C：2周岁
选项D：4周岁后
选项E：满5周岁",B
中医儿科学,"题干描述：身高增长的第二个高峰在
选项A：婴儿期
选项B：幼儿期
选项C：学龄前期
选项D：学龄期
选项E：青春期",E
中医儿科学,"题干描述：新生儿体重约为
选项A：1kg
选项B：2kg
选项C：3kg
选项D：5kg
选项E：7kg",C
中医儿科学,"题干描述：按公式计算，3岁小儿的身高应为
选项A：70cm
选项B：81cm
选项C：85cm
选项D：91cm
选项E：100cm",D
中医儿科学,"题干描述：前囟关闭的时间为出生后
选项A：2～4个月
选项B：4～6个月
选项C：6～12个月
选项D：12～18个月
选项E：18～24个月",D
中医儿科学,"题干描述：小儿“纯阳”之体的含义是
选项A：纯阳无阴
选项B：阳常有余
选项C：阴亏阳亢
选项D：发育迅速
选项E：肝常有余",D
中医儿科学,"题干描述：小儿为纯阳之体，伤于外邪以热性病证为多，其原因是六气易于化
选项A：湿
选项B：寒
选项C：燥
选项D：火
选项E：风",D
中医儿科学,"题干描述：小儿摄入的食物要软而易消化，饮食有常、有节，否则易出现食积、吐泻的原因主要是
选项A：肝常有余
选项B：心常有余
选项C：肺常不足
选项D：脾常不足
选项E：肾常虚",D
中医儿科学,"题干描述：小儿易产生感冒、咳喘，原因主要是
选项A：脾常不足
选项B：肺脏娇嫩
选项C：肾常虚
选项D：稚阳未充
选项E：稚阴未长",B
中医儿科学,"题干描述：小儿易受惊吓，原因主要是
选项A：肺脏娇嫩
选项B：脾常不足
选项C：肾常虚
选项D：心神怯弱
选项E：稚阴未长",D
中医儿科学,"题干描述：小儿缺乏卫生知识，易于误食一些被污染的食物，引发
选项A：咳喘
选项B：水肿
选项C：紫癜
选项D：厌食
选项E：吐泻",E
中医儿科学,"题干描述：儿科发病率居于第二位的是
选项A：肺系病证
选项B：心系病证
选项C：肝系病证
选项D：脾系病证
选项E：肾系病证",D
